iter	Passed	Remaining
865	1907	295
866	1910	293
867	1911	290
868	1913	288
869	1915	286
870	1916	283
871	1918	281
872	1919	279
873	1921	277
874	1924	274
875	1926	272
876	1927	270
877	1929	268
878	1931	265
879	1932	263
880	1934	261
881	1936	259
882	1938	256
883	1940	254
884	1942	252
885	1943	250
886	1945	247
887	1947	245
888	1948	243
889	1950	241
890	1952	238
891	1954	236
892	1955	234
893	1957	232
894	1959	229
895	1960	227
896	1962	225
897	1965	223
898	1967	221
899	1969	218
900	1971	216
901	1973	214
902	1974	212
903	1976	209
904	1978	207
905	1980	205
906	1981	203
907	1984	201
908	1986	198
909	1988	196
910	1989	194
911	1991	192
912	1993	189
913	1995	187
914	1996	185
915	2001	183
916	2003	181
917	2004	179
918	2006	176
919	2008	174
920	2010	172
921	2011	170
922	2013	167
923	2015	165
924	2017	163
925	2019	161
926	2020	159
927	2022	156
928	2024	154
929	2026	152
930	2027	150
931	2029	148
932	2032	145
933	2033	143
934	2035	141
935	2037	139
936	2038	137
937	2040	134
938	2042	132
939	2043	130
940	2046	128
941	2047	126
942	2049	123
943	2051	121
944	2053	119
945	2054	117
946	2056	115
947	2058	112
948	2059	110
949	2061	108
950	2063	106
951	2065	104
952	2066	101
953	2068	99
954	2070	97
955	2071	95
956	2073	93
957	2075	90
958	2077	88
959	2079	86
960	2080	84
961	2082	82
962	2084	80
963	2085	77
964	2087	75
965	2088	73
966	2092	71
967	2093	69
968	2095	67
969	2097	64
970	2098	62
971	2100	60
972	2101	58
973	2103	56
974	2105	53
975	2107	51
976	2109	49
977	2110	47
978	2112	45
979	2113	43
980	2115	40
981	2116	38
982	2118	36
983	2120	34
984	2122	32
985	2124	30
986	2125	27
987	2127	25
988	2129	23
989	2130	21
990	2132	19
991	2133	17
992	2135	15
993	2137	12
994	2139	10
995	2141	8
996	2143	6
997	2144	4
998	2146	2
999	2148	0
